210.0,310.0,1.0,1.0,0.0
220.0,320.0,1.0,1.0,0.0
230.0,330.0,1.0,1.0,0.0
240.0,340.0,1.0,1.0,0.0
250.0,350.0,1.0,1.0,0.0
260.0,360.0,1.0,1.0,0.0
270.0,370.0,1.0,1.0,0.0
280.0,380.0,1.0,1.0,0.0
290.0,390.0,1.0,1.0,0.0
300.0,400.0,1.0,1.0,0.0
310.0,410.0,1.0,1.0,0.0
320.0,420.0,1.0,1.0,1.0
330.0,430.0,1.0,1.0,1.0
340.0,440.0,1.0,1.0,1.0
350.0,450.0,1.0,1.0,0.0
360.0,460.0,1.0,1.0,0.0
370.0,470.0,1.0,1.0,0.0
380.0,480.0,1.0,1.0,1.0
390.0,490.0,1.0,1.0,1.0
400.0,480.0,1.0,-1.0,1.0
410.0,470.0,1.0,-1.0,1.0
420.0,460.0,1.0,-1.0,1.0
430.0,450.0,1.0,-1.0,0.0
440.0,440.0,1.0,-1.0,0.0
450.0,430.0,1.0,-1.0,0.0
460.0,420.0,1.0,-1.0,0.0
470.0,410.0,1.0,-1.0,0.0
480.0,400.0,1.0,-1.0,0.0
490.0,390.0,1.0,-1.0,0.0
500.0,380.0,1.0,-1.0,0.0
510.0,370.0,1.0,-1.0,0.0
520.0,360.0,1.0,-1.0,0.0
530.0,350.0,1.0,-1.0,0.0
540.0,340.0,1.0,-1.0,0.0
550.0,330.0,1.0,-1.0,0.0
560.0,320.0,1.0,-1.0,0.0
570.0,310.0,1.0,-1.0,0.0
560.0,300.0,-1.0,-1.0,0.0
550.0,290.0,-1.0,-1.0,-1.0
540.0,280.0,-1.0,-1.0,-1.0
530.0,270.0,-1.0,-1.0,-1.0
520.0,260.0,-1.0,-1.0,-1.0
510.0,250.0,-1.0,-1.0,-1.0
500.0,240.0,-1.0,-1.0,-1.0
490.0,230.0,-1.0,-1.0,-1.0
480.0,220.0,-1.0,-1.0,-1.0
470.0,210.0,-1.0,-1.0,-1.0
460.0,200.0,-1.0,-1.0,-1.0
450.0,190.0,-1.0,-1.0,-1.0
440.0,180.0,-1.0,-1.0,-1.0
